sl No,Company Name,City,Segment,Revenue Band,Overall Verdict,C1 Manufacturer Score        ,C1  Evidence,C2 India Score	,C2  Evidence,C3 Differentiation Score,C3  Evidence,C4 Tech DM Score	,C4  Evidence,	C5 Tailwind Score,C5 Evidence,C6 Growth Score	,C6 Evidence
1,Biological E.,Hyd,Basket A — Diagnostics,Rs.300-500Cr,Strong Fit (A-band),Strong,Formulations factory,Strong,HQ in Hyderabad,Strong,WHO approvals,Strong,Professional management,Strong,Biopharma PLI tailwind,Strong,Active recruitment signals
2,Avra Laboratories,Hyd,Basket A — Custom Synthesis,Rs.100-300Cr,Strong Fit (A-band),Strong,Reaction plant setups,Strong,Labs in Hyderabad,Strong,High-end IP moat,Strong,Founded by IICT Director,Strong,China+1 sourcing shifts,Mod,Stable technical hiring
3,Vivimed Labs,Hyd,Basket A — Performance Chem,Rs.100-300Cr,Fit (B-band),Strong,In-house plant lines,Strong,Operational units in SEZ,Mod,Photochromic dye moats,Mod,Managed by engineers,Strong,Export cosmetics growth,Mod,Baseline personnel activity
4,Sanali Biotech,Hyd,Basket A — Specialty Biotech,Rs.30-100Cr,Fit (B-band),Strong,Fermentation equipment,Strong,Base in Hyderabad hub,Mod,Basic industrial enzymes,Mod,Local technical team,Strong,Green-tech push tailwind,Weak,Minimal recent hiring
5,Lee Pharma,Hyd,Basket B — Regulated Pharma,Rs.100-300Cr,Strong Fit (A-band),Strong,Synthesis reaction sites,Strong,Active in Balanagar zone,Strong,USFDA/EU-GMP approved,Mod,Structured MRP workflows,Strong,Active API backup demand,Strong,Factory expansion signals
6,Symed Labs,Hyd,Basket B — Complex APIs,Rs.100-300Cr,Strong Fit (A-band),Strong,Core API lines active,Strong,Operating from Telangana,Strong,Niche chemical paths,Mod,Dashboard process reviews,Strong,Specialized drug pipelines,Strong,Financial metrics scaling
7,Prothious Eng.,Hyd,Basket B — Instrumentation,Rs.30-100Cr,Borderline (C-band),Strong,Structural fabrication bays,Strong,Main setups in Hyderabad,Mod,Standard process tracking,Weak,Project-to-project focus,Mod,Stable heavy engineering,Weak,Stagnant staff growth
8,Virchow Petrochem,Hyd,Basket A — Specialty Chem,Rs.100-300Cr,Strong Fit (A-band),Strong,Multi-acre process setup,Strong,Headquarters in Hyderabad,Strong,Highly cost-integrated moats,Strong,Veteran operational board,Strong,High local substitution,Mod,Regular plant updates
9,Maize Products,Ahmd,Basket B — Food Ingredients,Rs.300-500Cr,Fit (B-band),Strong,Corn refining plants,Strong,Kathwada industrial hub,Mod,Modified starch variants,Strong,Deep SAP S/4HANA setups,Strong,Food segment tailwinds,Mod,Regular system updates
10,Dynamic Products,Ahmd,Basket A — Specialty Dyes,Rs.30-100Cr,Fit (B-band),Strong,Specialized color lines,Strong,Active Ahmedabad zone,Mod,Certified food color matrix,Mod,Family board with degrees,Strong,Non-toxic export push,Mod,Stable talent baseline
11,Bodal Chemicals,Ahmd,Basket A — Performance Chem,Rs.300-500Cr,Strong Fit (A-band),Strong,Massive intermediate works,Strong,Major operations in Gujarat,Strong,Full chain integration moat,Mod,Multi-module ERP matrices,Strong,High import substitution,Strong,Big infrastructure scale-up
12,Asahi Songwon,Ahmd,Basket C — Pigments,Rs.100-300Cr,Strong Fit (A-band),Strong,Direct pigment production,Strong,Registered Gujarat setup,Strong,Global JV tech advantages,Mod,Formal system alignment,Strong,Packaging segment tailwind,Strong,Diversifying product footprints
13,AksharChem India,Ahmd,Basket A — Specialty Chem,Rs.100-300Cr,Strong Fit (A-band),Strong,Primary synthesis acreage,Strong,Core centers in Gujarat,Strong,Green chemistry designs,Mod,Structured risk dashboards,Strong,Environmental compliance push,Strong,Open engineering listings
14,Intermediates India,Ahmd,Basket A — Organic Synthesis,Rs.30-100Cr,Fit (B-band),Strong,Intermediate compound site,Strong,Ahmedabad location base,Mod,Custom organic baseline,Mod,Traditional operators,Strong,Local intermediate pull,Weak,Flat capacity logs
15,Shryans Specialties,Ahmd,Basket A — Polymers,Rs.30-100Cr,Fit (B-band),Strong,Resin and polymer plants,Strong,Functions in Gujarat zones,Mod,Tailored blending systems,Mod,Systematic planning metrics,Strong,Local electronics packaging,Mod,Steady local entry records
16,Amoli Organics,Ahmd,Basket B — Regulated APIs,Rs.100-300Cr,Strong Fit (A-band),Strong,Bulk production cleanrooms,Strong,Headquartered in Ahmedabad,Strong,Audited regulatory dossiers,Mod,Validated resource tools,Strong,CDMO reallocation shifts,Strong,Multi-role quality hiring
17,Melzer Chemicals,Pune,Basket A — Specialty Chem,Rs.30-100Cr,Strong Fit (A-band),Strong,Auxiliary synthesis setups,Strong,Anchored in Pune hub,Strong,Paper/water chemical moats,Mod,Contribution target costing,Strong,Waste-water norms push,Mod,Periodic facility updates
18,Aarushi Speciality,Pune,Basket A — Formulations,Rs.30-100Cr,Fit (B-band),Strong,Compound blending units,Strong,Operational in Pune loop,Mod,Industrial blending setups,Mod,Hands-on tech management,Strong,Local auto supply linkage,Weak,Routine local replacements
19,Explicit Chemicals,Pune,Basket A — Custom Synthesis,Rs.30-100Cr,Fit (B-band),Strong,Organic reaction lines,Strong,Located in Pune zones,Mod,Batch matching models,Mod,Standard quality tracking,Strong,Safe domestic sourcing pull,Mod,Constant output charts
20,Elkay Chemicals,Pune,Basket A — Silicone Fluids,Rs.100-300Cr,Strong Fit (A-band),Strong,Automated processing sites,Strong,Bhosari industrial core,Strong,Silicone formulation IP moats,Strong,Clear multi-dept governance,Strong,Medical/insulation tailwinds,Mod,Regular system checks
21,Subhash Chemical,Pune,Basket C — Inorganic Chem,Rs.30-100Cr,Fit (B-band),Strong,Multi-ton inorganic reactors,Strong,Long-standing Pune base,Mod,High-purity base layers,Mod,Gen-2 engineers active,Strong,Core manufacturing pull,Weak,Stable baseline tracking
22,Deepak Novochem,Pune,Basket A — Performance Chem,Rs.300-500Cr,Strong Fit (A-band),Strong,Organic transformation sites,Strong,Major Pune area footprint,Strong,Advanced alkylation systems,Strong,Complete ERP automation,Strong,Export chemical tailwinds,Strong,Continual talent pipeline
23,Aquapharm Chem.,Pune,Basket A — Phosphonates,Rs.300-500Cr,Strong Fit (A-band),Strong,Phosphonate reactor networks,Strong,Executive core in Pune,Strong,Extensive patent ownership,Strong,Enterprise SAP data engines,Strong,Eco descaling demands,Mod,Ongoing export hiring
24,Prasol Chemicals,Pune,Basket A — Acetone Derivatives,Rs.300-500Cr,Strong Fit (A-band),Strong,Large derivative blocks,Strong,Active in Maharashtra hub,Strong,Flavor/Fragrance chemistry,Mod,Gen-2 family transitions,Strong,Performance package lines,Strong,Visible project updates
25,Polyols & Polymers,Pune,Basket A — Specialty Resins,Rs.30-100Cr,Fit (B-band),Strong,Synthetic resin complexes,Strong,Plant setups in local hub,Mod,Custom bonding polymers,Mod,Systematic batch costing,Strong,Construction adhesive demands,Mod,Consistent local market presence
